"Date","Price","Open","High","Low","Vol.","Change %"
"12/29/2023","91.8690","91.9765","92.2030","91.8570","","-0.12%"
"12/28/2023","91.9770","92.4690","92.6650","91.9360","","-0.51%"
"12/27/2023","92.4460","91.8370","92.6360","91.7380","","0.68%"
"12/26/2023","91.8230","91.5610","91.8690","91.5565","","0.31%"
"12/25/2023","91.5390","91.6520","91.6770","91.4565","","-0.03%"
"12/22/2023","91.5660","91.6240","91.7920","91.4385","","-0.04%"
"12/21/2023","91.6020","90.9925","91.6625","90.9595","","0.73%"
"12/20/2023","90.9370","91.2600","91.3090","90.8965","","-0.34%"
"12/19/2023","91.2500","90.8320","91.3200","90.7220","","0.48%"
"12/18/2023","90.8100","90.5220","90.8770","90.4190","","0.41%"
"12/15/2023","90.4420","91.5930","91.6840","90.4020","","-1.22%"
"12/14/2023","91.5630","90.6400","91.6865","90.6235","","1.03%"
"12/13/2023","90.6260","90.0210","90.8360","89.8410","","0.69%"
"12/12/2023","90.0010","89.7150","90.2870","89.6715","","0.32%"
"12/11/2023","89.7100","89.7870","89.9140","89.5565","","-0.07%"
"12/08/2023","89.7740","89.9740","90.0360","89.4830","","-0.19%"
"12/07/2023","89.9440","89.7460","90.1650","89.6460","","0.29%"
"12/06/2023","89.6820","89.9575","90.0545","89.6535","","-0.29%"
"12/05/2023","89.9440","90.4060","90.4645","89.8360","","-0.50%"
"12/04/2023","90.4000","90.6510","90.7275","90.1365","","-0.23%"
"12/01/2023","90.6040","90.7870","90.9695","90.2135","","-0.14%"
"11/30/2023","90.7340","91.4510","91.5535","90.7080","","-0.75%"
"11/29/2023","91.4200","91.6130","91.8295","91.3210","","-0.19%"
"11/28/2023","91.5910","91.2850","91.7700","91.1370","","0.35%"
"11/27/2023","91.2710","91.1545","91.4040","91.0520","","0.12%"
"11/24/2023","91.1660","90.8750","91.2675","90.7850","","0.36%"
"11/23/2023","90.8360","90.7130","91.1000","90.6755","","0.18%"
"11/22/2023","90.6750","90.9275","91.0195","90.4220","","-0.23%"
"11/21/2023","90.8810","91.1540","91.4080","90.7765","","-0.28%"
"11/20/2023","91.1320","90.8500","91.2815","90.7115","","0.37%"
"11/17/2023","90.7940","90.2455","90.8830","90.1295","","0.64%"
"11/16/2023","90.2200","90.2395","90.6780","90.0910","","-0.01%"
"11/15/2023","90.2260","90.2720","90.4775","90.0810","","-0.04%"
"11/14/2023","90.2660","89.0255","90.3225","88.9605","","1.46%"
"11/13/2023","88.9690","89.0130","89.1780","88.7930","","-0.01%"
"11/10/2023","88.9820","88.8815","89.0870","88.7750","","0.13%"
"11/09/2023","88.8640","89.1015","89.3210","88.7775","","-0.26%"
"11/08/2023","89.0960","89.0530","89.2105","88.7485","","0.05%"
"11/07/2023","89.0480","89.1900","89.2485","88.7825","","-0.15%"
"11/06/2023","89.1850","89.2115","89.5220","89.1275","","-0.02%"
"11/03/2023","89.2010","88.4490","89.3730","88.3600","","0.91%"
"11/02/2023","88.3950","88.0025","88.7615","87.9775","","0.49%"
"11/01/2023","87.9650","88.0640","88.1205","87.5655","","-0.10%"
"10/31/2023","88.0520","88.3835","88.8850","87.9095","","-0.34%"
"10/30/2023","88.3530","87.9855","88.4975","87.7830","","0.45%"
"10/27/2023","87.9610","87.8950","88.2665","87.6865","","0.06%"
"10/26/2023","87.9050","87.8840","87.9570","87.5915","","0.10%"
"10/25/2023","87.8210","87.9210","88.1790","87.8280","","-0.08%"
"10/24/2023","87.8910","88.6580","88.7800","87.8450","","-0.82%"
"10/23/2023","88.6200","88.0995","88.7370","87.8950","","0.61%"
"10/20/2023","88.0810","87.9320","88.1870","87.7485","","0.18%"
"10/19/2023","87.9250","87.7565","88.2355","87.6495","","0.20%"
"10/18/2023","87.7460","88.0370","88.2100","87.6305","","-0.32%"
"10/17/2023","88.0260","87.8585","88.2095","87.6610","","0.22%"
"10/16/2023","87.8320","87.5045","87.8875","87.5045","","0.39%"
"10/13/2023","87.4930","87.6885","87.9130","87.3710","","-0.20%"
"10/12/2023","87.6710","88.3380","88.5125","87.6405","","-0.70%"
"10/11/2023","88.2910","88.2225","88.4260","87.9800","","0.13%"
"10/10/2023","88.1770","88.0025","88.3610","87.8520","","0.25%"
"10/09/2023","87.9580","87.8050","88.0525","87.5490","","-0.04%"
"10/06/2023","87.9890","87.7865","88.1395","87.2975","","0.26%"
"10/05/2023","87.7590","87.4930","87.8070","87.4050","","0.37%"
"10/04/2023","87.4370","87.1330","87.6820","86.9985","","0.41%"
"10/03/2023","87.0830","87.1595","87.2965","86.9105","","-0.06%"
"10/02/2023","87.1330","87.7510","88.0915","87.1510","","-0.72%"
"09/29/2023","87.7630","87.8720","88.2095","87.7140","","-0.04%"
"09/28/2023","87.7980","87.3895","87.9535","87.2535","","0.52%"
"09/27/2023","87.3400","87.9920","88.0835","87.2650","","-0.72%"
"09/26/2023","87.9740","88.0650","88.3410","87.9300","","-0.07%"
"09/25/2023","88.0350","88.4100","88.5575","87.9225","","-0.39%"
"09/22/2023","88.3800","88.6135","88.6510","87.9755","","-0.21%"
"09/21/2023","88.5700","88.3980","88.7445","88.0375","","0.21%"
"09/20/2023","88.3840","88.9970","89.0745","88.3110","","-0.64%"
"09/19/2023","88.9500","89.0200","89.1925","88.8790","","-0.07%"
"09/18/2023","89.0160","88.5945","89.1240","88.5735","","0.54%"
